turn,topic_count,episode_count,new_topic_created,new_topic_label,compaction_occurred,compaction_turn
1,0,0,False,---,False,---
2,0,1,False,---,False,---
3,0,2,False,---,False,---
4,0,3,False,---,False,---
5,0,4,False,---,False,---
6,0,0,False,---,True,6
7,0,1,False,---,False,---
8,0,2,False,---,False,---
9,0,3,False,---,False,---
10,0,0,False,---,True,10
11,0,1,False,---,False,---
12,0,2,False,---,False,---
13,0,3,False,---,False,---
14,0,4,False,---,False,---
15,0,5,False,---,False,---
16,0,0,False,---,True,16
17,0,1,False,---,False,---
18,0,2,False,---,False,---
19,0,3,False,---,False,---
20,0,0,False,---,True,20
21,0,1,False,---,False,---
22,0,0,False,---,True,22
23,0,1,False,---,False,---
24,0,2,False,---,False,---
25,0,3,False,---,False,---
26,0,4,False,---,False,---
27,0,0,False,---,True,27
28,0,1,False,---,False,---
29,0,0,False,---,True,29
30,0,1,False,---,False,---
31,0,0,False,---,True,31
32,0,1,False,---,False,---
33,0,0,False,---,True,33
34,0,1,False,---,False,---
35,0,2,False,---,False,---
36,0,0,False,---,True,36
37,0,1,False,---,False,---
38,0,2,False,---,False,---
39,0,3,False,---,False,---
40,0,4,False,---,False,---
41,0,5,False,---,False,---
42,0,6,False,---,False,---
43,0,7,False,---,False,---
44,0,8,False,---,False,---
45,0,9,False,---,False,---
46,0,10,False,---,False,---
47,0,11,False,---,False,---
48,0,12,False,---,False,---
49,0,13,False,---,False,---
50,0,14,False,---,False,---
51,0,15,False,---,False,---
52,0,16,False,---,False,---
53,0,0,False,---,True,53
54,0,1,False,---,False,---
55,0,2,False,---,False,---
56,0,3,False,---,False,---
57,0,4,False,---,False,---
58,0,0,False,---,True,58
59,0,1,False,---,False,---
60,0,2,False,---,False,---
61,0,0,False,---,True,61
62,0,1,False,---,False,---
63,0,2,False,---,False,---
64,0,3,False,---,False,---
65,0,0,False,---,True,65
66,0,1,False,---,False,---
67,0,2,False,---,False,---
68,0,0,False,---,True,68
69,0,1,False,---,False,---
70,0,2,False,---,False,---
71,0,0,False,---,True,71
72,0,1,False,---,False,---
73,0,2,False,---,False,---
74,0,0,False,---,True,74
75,0,1,False,---,False,---
76,0,2,False,---,False,---
77,0,0,False,---,True,77
78,0,1,False,---,False,---
79,0,2,False,---,False,---
80,0,0,False,---,True,80
81,0,1,False,---,False,---
82,0,0,False,---,True,82
83,0,1,False,---,False,---
84,0,2,False,---,False,---
85,0,0,False,---,True,85
86,0,1,False,---,False,---
87,0,0,False,---,True,87
88,0,1,False,---,False,---
89,0,0,False,---,True,89
90,0,1,False,---,False,---
91,0,2,False,---,False,---
92,0,3,False,---,False,---
93,0,0,False,---,True,93
94,0,1,False,---,False,---
95,0,0,False,---,True,95
96,0,1,False,---,False,---
97,0,0,False,---,True,97
98,0,1,False,---,False,---
99,0,2,False,---,False,---
100,0,3,False,---,False,---
101,0,4,False,---,False,---
102,0,5,False,---,False,---
103,0,6,False,---,False,---
104,0,7,False,---,False,---
105,0,0,False,---,True,105
106,0,1,False,---,False,---
107,0,2,False,---,False,---
108,0,3,False,---,False,---
109,0,4,False,---,False,---
110,0,0,False,---,True,110
111,0,1,False,---,False,---
112,0,2,False,---,False,---
113,0,3,False,---,False,---
114,0,4,False,---,False,---
115,0,0,False,---,True,115
116,0,1,False,---,False,---
117,0,2,False,---,False,---
118,0,3,False,---,False,---
119,0,0,False,---,True,119
120,0,1,False,---,False,---
