turn,topic_count,episode_count,new_topic_created,new_topic_label,compaction_occurred,compaction_turn
1,0,0,False,---,False,---
2,0,1,False,---,False,---
3,0,2,False,---,False,---
4,0,3,False,---,False,---
5,0,4,False,---,False,---
6,0,5,False,---,False,---
7,0,6,False,---,False,---
8,0,7,False,---,False,---
9,0,8,False,---,False,---
10,0,9,False,---,False,---
11,0,10,False,---,False,---
12,0,11,False,---,False,---
13,0,12,False,---,False,---
14,0,13,False,---,False,---
15,0,14,False,---,False,---
16,0,15,False,---,False,---
17,0,16,False,---,False,---
18,0,17,False,---,False,---
19,0,18,False,---,False,---
20,0,19,False,---,False,---
21,0,20,False,---,False,---
22,0,21,False,---,False,---
23,0,22,False,---,False,---
24,0,23,False,---,False,---
25,0,24,False,---,False,---
26,0,25,False,---,False,---
27,0,26,False,---,False,---
28,0,27,False,---,False,---
29,0,28,False,---,False,---
30,0,29,False,---,False,---
31,0,30,False,---,False,---
32,0,31,False,---,False,---
33,0,32,False,---,False,---
34,0,33,False,---,False,---
35,0,34,False,---,False,---
36,0,35,False,---,False,---
37,0,36,False,---,False,---
38,0,37,False,---,False,---
39,0,38,False,---,False,---
40,0,39,False,---,False,---
41,0,40,False,---,False,---
42,0,41,False,---,False,---
43,0,42,False,---,False,---
44,0,43,False,---,False,---
45,0,44,False,---,False,---
46,0,45,False,---,False,---
47,0,46,False,---,False,---
48,0,47,False,---,False,---
49,0,48,False,---,False,---
50,0,49,False,---,False,---
51,0,50,False,---,False,---
52,0,51,False,---,False,---
53,0,52,False,---,False,---
54,0,53,False,---,False,---
55,0,54,False,---,False,---
56,0,55,False,---,False,---
57,0,56,False,---,False,---
58,0,57,False,---,False,---
59,0,58,False,---,False,---
60,0,59,False,---,False,---
61,0,60,False,---,False,---
62,0,61,False,---,False,---
63,0,62,False,---,False,---
64,0,63,False,---,False,---
65,0,64,False,---,False,---
66,0,65,False,---,False,---
67,0,66,False,---,False,---
68,0,67,False,---,False,---
69,0,68,False,---,False,---
70,0,69,False,---,False,---
71,0,70,False,---,False,---
72,0,71,False,---,False,---
73,0,72,False,---,False,---
74,0,73,False,---,False,---
75,0,74,False,---,False,---
76,0,75,False,---,False,---
77,0,76,False,---,False,---
78,0,77,False,---,False,---
79,0,78,False,---,False,---
80,0,79,False,---,False,---
81,0,80,False,---,False,---
82,0,81,False,---,False,---
83,0,82,False,---,False,---
84,0,83,False,---,False,---
85,0,84,False,---,False,---
86,0,85,False,---,False,---
87,0,86,False,---,False,---
88,0,87,False,---,False,---
89,0,88,False,---,False,---
90,0,89,False,---,False,---
91,0,90,False,---,False,---
92,0,91,False,---,False,---
93,0,92,False,---,False,---
94,0,93,False,---,False,---
95,0,94,False,---,False,---
96,0,95,False,---,False,---
97,0,96,False,---,False,---
98,0,97,False,---,False,---
99,0,98,False,---,False,---
100,0,99,False,---,False,---
101,0,100,False,---,False,---
102,0,101,False,---,False,---
103,0,102,False,---,False,---
104,0,103,False,---,False,---
105,0,104,False,---,False,---
106,0,105,False,---,False,---
107,0,106,False,---,False,---
108,0,107,False,---,False,---
109,0,108,False,---,False,---
110,0,109,False,---,False,---
111,0,110,False,---,False,---
112,0,111,False,---,False,---
113,0,112,False,---,False,---
114,0,113,False,---,False,---
115,0,114,False,---,False,---
116,0,115,False,---,False,---
117,0,116,False,---,False,---
118,0,117,False,---,False,---
119,0,118,False,---,False,---
120,0,119,False,---,False,---
