turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,0.0,0.1972877999942284,0,233
2,57.58616003019047,0.01736528359376166,1024,306
3,40.41459006258043,0.0247435393616894,94,1537
4,55.17291647301114,0.01812483486330052,1024,1711
5,53.185138593056806,0.018802244883696657,860,2781
6,52.81751228159577,0.018933114355490943,1024,3840
7,50.43941562252333,0.019825764982761968,871,5185
8,33.35970476607985,0.029976284472900974,702,6327
9,21.791220016150323,0.045890041918665456,959,7264
10,20.161164533613356,0.04960030946291655,782,8530
11,20.195648629140873,0.04951561687189743,812,9433
12,19.17558307078387,0.05214965283238824,865,10514
13,18.823908463152215,0.05312393023784084,883,11628
14,32.491897445022175,0.030776903740141595,1016,12821
15,43.96456341496969,0.022745591501984654,1012,14137
16,41.696375721762635,0.023982899777019923,897,15449
17,42.31342712476353,0.023633160156265376,1024,16664
18,41.30216164544569,0.02421180781249177,1024,17823
19,39.86733402931254,0.02508319215086587,981,19229
20,37.99132907833522,0.02632179563758026,894,20530
21,38.831675917242954,0.02575217207032665,1024,21665
22,37.91913348561398,0.02637191064451372,1024,22988
23,37.219359126246594,0.026867738281254105,1024,24446
24,35.99839959322091,0.027779012714451795,991,25757
25,35.80224833717041,0.027931206738259107,1024,27046
26,33.15202390545507,0.030164070913192512,887,28407
27,34.48412052049152,0.028998854687500852,1024,29661
28,33.81939264612103,0.029568833789056725,1024,31108
29,33.1602990715784,0.03015654345702501,1024,32487
30,32.5611985660146,0.030711400195315264,1024,33862
31,31.847505584232287,0.03139963339845053,1024,35253
32,31.353515975307864,0.03189434960938797,1024,36310
33,30.843641331982578,0.03242159345703044,1024,37729
34,30.184949819984535,0.03312909267577879,1024,39058
35,29.73515803633041,0.03363022314454156,1024,40466
36,29.23633443908068,0.034204014257795734,1024,41827
37,27.149965908919995,0.03683245877194471,912,43211
38,26.990997442422444,0.037049390343325155,932,44356
39,25.227001444068634,0.03964006591180181,839,45563
40,27.464363158302813,0.036410820605453864,1024,46698
41,25.886145779024485,0.0386307026367092,1024,47863
42,24.605576701781153,0.040641193340841784,886,49196
43,26.431905912317255,0.03783306445313883,1024,49445
44,25.981459265304615,0.0384889851562491,1024,50832
45,25.605954984921677,0.03905341552732011,1024,52184
46,25.103818508489756,0.03983457734375406,1024,53573
47,24.801944544150604,0.04031941923827276,1024,55015
48,24.330806704207173,0.04110015800779365,1024,56405
49,24.010244496048,0.04164888867185823,1024,57777
50,23.59868224773898,0.04237524746093868,1024,59177
51,23.201300644978488,0.043101031933588274,1024,60592
52,22.865610993267726,0.043733797460930646,1024,61939
53,22.5166914870633,0.044411498046883935,1024,63243
54,22.165586071252058,0.04511498125000912,1024,64687
55,21.562421812706564,0.046376979760720013,1003,66086
56,21.70596791470076,0.04607027910157058,1024,66329
57,21.38424833761322,0.04676339257812856,1024,67663
58,21.056537471410234,0.04749118896484106,1024,68811
59,19.23799495054925,0.05198046899224546,903,70051
60,20.705537971127747,0.04829625781249547,1024,70271
61,20.40067304370312,0.04901799062500345,1024,71570
62,20.04845582554244,0.0498791532226619,1024,72865
63,19.758007970309794,0.0506123897461066,1024,74244
64,19.474209429639973,0.051349966406235126,1024,75550
65,19.18532593558362,0.052123169726570495,1024,76839
66,18.907818450504067,0.052888174414079,1024,78114
67,16.168237728296464,0.061849659610699145,822,79403
68,18.539412640408308,0.05393914140626066,1024,79658
69,18.278380901374696,0.054709440917974916,1024,80947
70,18.041739832914864,0.055427026953111636,1024,82126
71,17.787182750657767,0.056220257812498176,1024,83398
72,17.52606256434752,0.057057881445331304,1024,84613
73,17.271477809182358,0.05789892509767469,1024,85940
74,17.035477206441723,0.05870102656248832,1024,87240
75,16.780996821625315,0.059591215625005134,1024,88619
76,16.57842162258609,0.06031937314452307,1024,89933
77,16.36402405618723,0.061109663281257554,1024,91269
78,16.080903234815732,0.06218556168132174,1023,92594
79,16.071392742623217,0.06222236093751121,1024,92817
80,15.850167058209285,0.0630908176757714,1024,94262
81,15.656263984381784,0.06387219843747971,1024,95581
82,15.415991490024672,0.06486770576171352,1024,96844
83,15.243759020464811,0.06560061718749921,1024,97960
84,14.937161273426517,0.06694712480469889,1024,99260
85,14.743776857685608,0.0678252261718626,1024,100512
