turn,n_count,episode_id,decay_score,topic_label,n_total_in_store
3,2,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9999902250477751,ce38e723-859f-41d4-a5a4-2d157af73574,2
3,2,85e15072-7f49-471c-823d-fe75fb12ef6c,1.0,ce38e723-859f-41d4-a5a4-2d157af73574,2
4,3,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9994969494890249,ce38e723-859f-41d4-a5a4-2d157af73574,3
4,3,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9994969491280955,ce38e723-859f-41d4-a5a4-2d157af73574,3
4,3,afbac3cb-a246-4194-81ff-1dced270d53b,1.0,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,3
5,4,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9994766368356376,ce38e723-859f-41d4-a5a4-2d157af73574,4
5,4,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9994766365857685,ce38e723-859f-41d4-a5a4-2d157af73574,4
5,4,afbac3cb-a246-4194-81ff-1dced270d53b,0.9994766365580052,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,4
6,5,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9994581938855264,ce38e723-859f-41d4-a5a4-2d157af73574,5
6,5,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9994581936078991,ce38e723-859f-41d4-a5a4-2d157af73574,5
6,5,afbac3cb-a246-4194-81ff-1dced270d53b,0.9994581935801363,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,5
6,5,e35a01bd-c1f8-48c4-9269-c777e93a1227,1.0,1a9bdae5-9396-4cf9-a969-61d73ee8616f,5
7,6,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.999437841875677,ce38e723-859f-41d4-a5a4-2d157af73574,6
7,6,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9994378416258175,ce38e723-859f-41d4-a5a4-2d157af73574,6
7,6,afbac3cb-a246-4194-81ff-1dced270d53b,0.9994378415980554,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,6
7,6,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9994378415702931,1a9bdae5-9396-4cf9-a969-61d73ee8616f,6
7,6,4f01f428-cb50-481c-b802-1583664bbea5,1.0,c37f333d-63e0-417f-b8d5-d251477f7eea,6
8,7,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9994188192287861,ce38e723-859f-41d4-a5a4-2d157af73574,7
8,7,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9994188189789314,ce38e723-859f-41d4-a5a4-2d157af73574,7
8,7,afbac3cb-a246-4194-81ff-1dced270d53b,0.9994188189511698,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,7
8,7,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9994188189234081,1a9bdae5-9396-4cf9-a969-61d73ee8616f,7
8,7,4f01f428-cb50-481c-b802-1583664bbea5,0.9994188189234081,c37f333d-63e0-417f-b8d5-d251477f7eea,7
8,7,34187a01-c51d-4bc8-bd9c-90915717980a,1.0,a7985c10-d97f-45bb-b3da-11433108ba43,7
9,8,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9993988540384573,ce38e723-859f-41d4-a5a4-2d157af73574,8
9,8,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9993988537886076,ce38e723-859f-41d4-a5a4-2d157af73574,8
9,8,afbac3cb-a246-4194-81ff-1dced270d53b,0.9993988537608465,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,8
9,8,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9993988537330855,1a9bdae5-9396-4cf9-a969-61d73ee8616f,8
9,8,4f01f428-cb50-481c-b802-1583664bbea5,0.9993988537053243,c37f333d-63e0-417f-b8d5-d251477f7eea,8
9,8,34187a01-c51d-4bc8-bd9c-90915717980a,0.9993988536775633,a7985c10-d97f-45bb-b3da-11433108ba43,8
9,8,8b691aef-fa36-40e4-87cb-642a1649883a,1.0,ce38e723-859f-41d4-a5a4-2d157af73574,8
10,9,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9993799767938766,ce38e723-859f-41d4-a5a4-2d157af73574,9
10,9,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9993799765440317,ce38e723-859f-41d4-a5a4-2d157af73574,9
10,9,afbac3cb-a246-4194-81ff-1dced270d53b,0.9993799765162711,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,9
10,9,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9993799764885105,1a9bdae5-9396-4cf9-a969-61d73ee8616f,9
10,9,4f01f428-cb50-481c-b802-1583664bbea5,0.9993799764885105,c37f333d-63e0-417f-b8d5-d251477f7eea,9
10,9,34187a01-c51d-4bc8-bd9c-90915717980a,0.9993799764607499,a7985c10-d97f-45bb-b3da-11433108ba43,9
10,9,8b691aef-fa36-40e4-87cb-642a1649883a,0.9993799764607499,ce38e723-859f-41d4-a5a4-2d157af73574,9
10,9,33b36e44-8f5e-43a2-ad5c-c479a313ffab,1.0,ce38e723-859f-41d4-a5a4-2d157af73574,9
11,10,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.999355001684235,ce38e723-859f-41d4-a5a4-2d157af73574,10
11,10,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9993550014621561,ce38e723-859f-41d4-a5a4-2d157af73574,10
11,10,afbac3cb-a246-4194-81ff-1dced270d53b,0.9993550014343963,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,10
11,10,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9993550014066364,1a9bdae5-9396-4cf9-a969-61d73ee8616f,10
11,10,4f01f428-cb50-481c-b802-1583664bbea5,0.9993550014066364,c37f333d-63e0-417f-b8d5-d251477f7eea,10
11,10,34187a01-c51d-4bc8-bd9c-90915717980a,0.9993550013788765,a7985c10-d97f-45bb-b3da-11433108ba43,10
11,10,8b691aef-fa36-40e4-87cb-642a1649883a,0.9993550013788765,ce38e723-859f-41d4-a5a4-2d157af73574,10
11,10,d8842095-2c7b-480b-8d7b-fc9483275ec2,1.0,24d4a767-5382-4591-9ae2-c780fa6b5525,10
12,10,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9993419525804563,ce38e723-859f-41d4-a5a4-2d157af73574,11
12,10,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9993419523583803,ce38e723-859f-41d4-a5a4-2d157af73574,11
12,10,afbac3cb-a246-4194-81ff-1dced270d53b,0.9993419523306208,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,11
12,10,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.9993419523028613,353f67e4-6ffa-4386-854f-de3da3af850a,11
12,10,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9993419523028613,1a9bdae5-9396-4cf9-a969-61d73ee8616f,11
12,10,4f01f428-cb50-481c-b802-1583664bbea5,0.9993419522751018,c37f333d-63e0-417f-b8d5-d251477f7eea,11
12,10,34187a01-c51d-4bc8-bd9c-90915717980a,0.9993419522473423,a7985c10-d97f-45bb-b3da-11433108ba43,11
12,10,8b691aef-fa36-40e4-87cb-642a1649883a,0.9993419522473423,ce38e723-859f-41d4-a5a4-2d157af73574,11
12,10,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.9993419522195828,ce38e723-859f-41d4-a5a4-2d157af73574,11
12,10,d6dbe7c8-dd11-412b-b764-4aea5f6956bc,1.0,24d4a767-5382-4591-9ae2-c780fa6b5525,11
13,10,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9993362497130786,ce38e723-859f-41d4-a5a4-2d157af73574,12
13,10,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9993362494632444,ce38e723-859f-41d4-a5a4-2d157af73574,12
13,10,afbac3cb-a246-4194-81ff-1dced270d53b,0.999336249435485,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,12
13,10,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9993362493799665,1a9bdae5-9396-4cf9-a969-61d73ee8616f,12
13,10,4f01f428-cb50-481c-b802-1583664bbea5,0.9993362492966884,c37f333d-63e0-417f-b8d5-d251477f7eea,12
13,10,34187a01-c51d-4bc8-bd9c-90915717980a,0.999336249268929,a7985c10-d97f-45bb-b3da-11433108ba43,12
13,10,8b691aef-fa36-40e4-87cb-642a1649883a,0.9993362492411697,ce38e723-859f-41d4-a5a4-2d157af73574,12
13,10,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.9993362492411697,ce38e723-859f-41d4-a5a4-2d157af73574,12
13,10,3ddcc6c0-3242-4818-9466-0a17276937b6,1.0,24d4a767-5382-4591-9ae2-c780fa6b5525,12
14,10,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9993408313194145,ce38e723-859f-41d4-a5a4-2d157af73574,13
14,10,85e15072-7f49-471c-823d-fe75fb12ef6c,0.9993408310695793,ce38e723-859f-41d4-a5a4-2d157af73574,13
14,10,afbac3cb-a246-4194-81ff-1dced270d53b,0.9993408310418198,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,13
