turn,topic_count,episode_count,new_topic_created,new_topic_label,compaction_occurred,compaction_turn
1,1,1,True,topic_1,False,---
2,1,1,False,---,False,---
3,2,2,True,topic_2,False,---
4,3,3,True,topic_3,False,---
5,4,4,True,topic_4,False,---
6,5,5,True,topic_5,False,---
7,6,6,True,topic_6,False,---
8,6,6,False,---,False,---
9,6,6,False,---,False,---
10,7,7,True,topic_7,False,---
11,7,7,False,---,False,---
12,7,7,False,---,False,---
13,7,7,False,---,False,---
14,7,7,False,---,False,---
15,8,8,True,topic_8,False,---
16,9,9,True,topic_9,False,---
17,9,9,False,---,False,---
18,9,9,False,---,False,---
19,10,10,True,topic_10,False,---
20,10,10,False,---,False,---
21,10,10,False,---,False,---
22,10,10,False,---,False,---
23,10,10,False,---,False,---
24,10,10,False,---,False,---
25,10,10,False,---,False,---
26,11,11,True,topic_11,False,---
27,11,11,False,---,False,---
28,11,11,False,---,False,---
29,11,11,False,---,False,---
30,11,11,False,---,False,---
31,11,11,False,---,False,---
32,12,12,True,topic_12,False,---
33,13,13,True,topic_13,False,---
34,14,14,True,topic_14,False,---
35,15,15,True,topic_15,False,---
36,16,16,True,topic_16,False,---
37,17,17,True,topic_17,False,---
38,18,18,True,topic_18,False,---
39,19,19,True,topic_19,False,---
40,19,19,False,---,False,---
41,19,19,False,---,False,---
42,19,19,False,---,False,---
43,20,20,True,topic_20,False,---
44,21,21,True,topic_21,False,---
45,22,22,True,topic_22,False,---
46,22,22,False,---,False,---
47,23,23,True,topic_23,False,---
48,24,24,True,topic_24,False,---
49,25,25,True,topic_25,False,---
50,24,24,False,---,False,---
51,24,24,False,---,False,---
52,25,25,True,topic_25,False,---
53,25,25,False,---,False,---
54,25,25,False,---,False,---
55,25,25,False,---,False,---
56,25,25,False,---,False,---
57,25,25,False,---,False,---
58,26,26,True,topic_26,False,---
59,26,26,False,---,False,---
60,25,25,False,---,False,---
61,26,26,True,topic_26,False,---
62,27,27,True,topic_27,False,---
63,28,28,True,topic_28,False,---
64,28,28,False,---,False,---
65,29,29,True,topic_29,False,---
66,29,29,False,---,False,---
67,30,30,True,topic_30,False,---
68,30,30,False,---,False,---
69,30,30,False,---,False,---
70,31,31,True,topic_31,False,---
71,32,32,True,topic_32,False,---
72,33,33,True,topic_33,False,---
73,34,34,True,topic_34,False,---
74,34,34,False,---,False,---
75,35,35,True,topic_35,False,---
76,36,36,True,topic_36,False,---
77,37,37,True,topic_37,False,---
78,37,37,False,---,False,---
79,37,37,False,---,False,---
80,36,36,False,---,False,---
81,36,36,False,---,False,---
82,36,36,False,---,False,---
83,36,36,False,---,False,---
84,36,36,False,---,False,---
85,37,37,True,topic_37,False,---
86,38,38,True,topic_38,False,---
87,39,39,True,topic_39,False,---
88,40,40,True,topic_40,False,---
89,40,40,False,---,False,---
90,39,39,False,---,False,---
91,40,40,True,topic_40,False,---
92,40,40,False,---,False,---
93,41,41,True,topic_41,False,---
94,42,42,True,topic_42,False,---
95,42,42,False,---,False,---
96,42,42,False,---,False,---
97,43,43,True,topic_43,False,---
98,44,44,True,topic_44,False,---
99,45,45,True,topic_45,False,---
100,45,45,True,topic_46,False,---
101,46,46,True,topic_46,False,---
102,47,47,True,topic_47,False,---
103,47,47,False,---,False,---
104,47,47,False,---,False,---
105,47,47,False,---,False,---
106,47,47,False,---,False,---
107,48,48,True,topic_48,False,---
108,48,48,False,---,False,---
109,48,48,False,---,False,---
110,48,48,False,---,False,---
111,48,48,False,---,False,---
112,48,48,False,---,False,---
113,49,49,True,topic_49,False,---
114,49,49,False,---,False,---
115,49,49,False,---,False,---
116,50,50,True,topic_50,False,---
117,51,51,True,topic_51,False,---
118,51,51,False,---,False,---
119,52,52,True,topic_52,False,---
120,52,52,True,topic_53,False,---
